CASE	QUESTNNR	MODE	AU01	AU02	AU03	RU01_01	RU02_01	RU03_01	RU04_01	RU05_01	RU06_01	AS01	AS02	AS03	RS01_01	RS02_01	RS03_01	RS04_01	RS05_01	RS06_01	AW01	AW02	AW03	RW01_01	RW02_01	RW03_01	RW04_01	RW05_01	RW06_01	AK01	AK02	AK03	RK01_01	RK02_01	RK03_01	RK04_01	RK05_01	RK06_01	KD01	KD04	KD04_01	KD04_02	KD04_03	KD05	KD10	KD10_01	KD10_02	KD10_05	KD10_03	KD10_04	TIME001	TIME002	TIME003	TIME004	TIME005	TIME006	TIME007	TIME008	TIME009	TIME010	TIME011	TIME012	TIME013	TIME014	TIME015	TIME016	TIME017	TIME018	TIME019	TIME020	TIME021	TIME022	TIME023	TIME024	TIME025	TIME026	TIME027	TIME028	TIME029	TIME030	TIME031	TIME032	TIME033	TIME034	TIME035	TIME036	TIME037	TIME038	TIME039	TIME040	TIME041	TIME042	TIME043	TIME044	TIME_SUM	FINISHED	Q_VIEWER	LASTPAGE	MAXPAGE
141	FB3	interview	1	-1	-1	6						-1	-1	-1							-1	-1	-1							-1	-1	-1							2	-1	F	F	F	4	1	F	F	F	T	F	7	11	10			20			7			12	23	8		12			24			5	5			5			4			6	3			5			8			3	27	23	220	T	F	44	44
143	FB3	interview	2	2	-1		5		4			-1	-1	-1							2	2	1		6		4	2		-1	1	1			3		3		1	1	T	F	F	2	1	F	F	F	F	T	52	15	47			66	26		14	12		9	32		25	15		4	9			4	28			17			73			8	23		21	18		5	13	21		2	44	407	509	T	F	44	44
145	FB3	interview	-1	-1	-1							-1	-1	-1							-1	-1	-1							-1	-1	-1							2	1	F	T	F	2	1	F	F	F	F	T	5	106	7			5			4			2	5			4			4			1	4			2			3			1	6			2			4			1	36	131	238	T	F	44	44
149	FB3	interview	-1	2	-1				4			2	-1	2		4				5	2	-1	1		5			3		-1	-1	-1							1	2	T	T	F	2	2	F	F	F	T	T	32	11	50			24			22			6	27			45		28	24			3	25		9	21			20		7	2	18		6	21			16	3		3	73	879	532	T	F	44	44
158	FB3	interview	-1	2	-1				4			-1	-1	-1							2	2	-1		6		2			-1	1	1			5		7		1	1	T	F	F	4	3	T	T	F	F	T	3717	7	49			17	11		4	3		4	17			14		8	9			2	7			9			3			1	13		16	17		3	27			2	171	61	346	T	F	44	44
170	FB3	interview	-1	-1	-1							-1	-1	-1							-1	-1	-1							-1	-1	-1							1	1	F	F	T	2	1	F	F	F	T	F	21	2	21			16			16			7	10			6			7			4	4			5			2			3	4			2			2			2	83	23	240	T	F	44	44
175	FB3	interview	-1	2	2				6		6	1	1	-1	6		6				-1	1	1			6		8		1	-1	2	8					8	2	1	F	F	T	3	1	F	F	F	F	T	10	11	22	29		19			21		5	13	2028			36		16	33		2	6	12	4		9	3		20			4	24			8	3		7	6		4	54	25	394	T	F	44	44
176	FB3	interview	-1	-1	-1							2	-1	1		4			5		-1	-1	-1							-1	1	-1			6				1	-1	F	F	F	4	1	F	F	F	T	F	9	13	26			21	76		13			6	16			19			11			2	10		11	20			6	4		1	16			7			6			2	29	41	309	T	F	44	44
195	FB3	interview	-1	-1	-1							-1	1	1			6		6		-1	-1	-1							-1	-1	-1							2	2	T	F	T	3	1	T	F	F	F	F	33	22	42			25			8			14	26			51			7			2	23			16	41		18	4		12	29			32			25			6	150	622	553	T	F	44	44
197	FB3	interview	-1	-1	-1							2	-1	1		5			5		2	2	-1		4		4			-1	-1	-1							1	1	T	F	F	4	1	F	F	F	F	T	11	20	39			44			11			9	18			17			20			5	20		22	22			16	11		3	29		7	39		12	14			3	159	60	604	T	F	44	44
223	FB3	interview	1	-1	2	5					6	1	1	-1	4		4				-1	1	1			6		5		1	2	2	5			7		8	2	1	F	F	T	4	2	F	F	T	T	F	8	18	33	27		17		13	20		6	9	26	7		12			11		4	3	36	4		13	2		19			3	27			12	7		13	3		3	67	22	390	T	F	44	44
232	FB3	interview	2	2	1		7		3	4		2	-1	1		5			7		-1	-1	-1							-1	1	-1			5				1	1	T	F	F	3	2	F	T	F	F	T	56	19	29			35	48		57			22	33		120	31		34	50	18		9	25		22	43			68	37		9	32			65			43			5	258	313	593	T	F	44	44
251	FB3	interview	2	-1	1		4			5		-1	-1	-1							-1	-1	2						4	-1	-1	-1							2	1	T	F	F	4	1	F	F	F	T	F	84	2	15			12			6			2	6		17	11			3	3		2	3			4			4			2	3			6			3		7	1	17	32	165	T	F	44	44
252	FB3	interview	1	-1	2	5					6	-1	-1	2						5	1	2	2	7			5		5	-1	-1	-1							2	1	F	F	T	4	4	T	F	T	T	T	7	11	21			14			16			6	18	24		16			18		16	5	25			7			15		15	3	15	10		14		7	33		4	2	222	47	336	T	F	44	44
254	FB3	interview	1	2	2	5			5		6	2	-1	-1		8					-1	-1	-1							-1	-1	-1							2	1	F	T	F	3	1	F	F	F	T	F	7	12	46			29			20			6	49	41		21		14	16		16	2	27		19	19			19			11	16			10			9			4	41	63	460	T	F	44	44
255	FB3	interview	-1	-1	-1							1	1	2	5		5			5	2	1	1		6	6		6		-1	2	2				8		8	2	2	F	T	T	4	2	F	T	T	F	F	7	22	44			14		16	14		12	6	18			15			10			8	6	8		14	4		40		3	2	11		9	24	2		7	6		3	57	43	398	T	F	44	44
259	FB3	interview	-1	2	-1				3			1	-1	-1	3						-1	-1	-1							1	-1	2	3					3	2	1	T	F	F	1	1	F	T	F	F	F	17	20	46	20		24			25		7	137	36			28		14	16			10	31	8		40			83			10	23			38			13			3	61	28	484	T	F	44	44
276	FB3	interview	-1	2	-1				2			2	2	1		4		3	2		-1	-1	-1							-1	-1	-1							-1	1	T	F	F	1	1	F	F	F	F	T	39	10	66			22			8			8	94			14		14	6			2	18		10	9		3	16	2		3	71			12			5			3	64	12	382	T	F	44	44
294	FB3	interview	-1	-1	-1							2	2	1		5		4	4		2	-1	1		6			6		-1	-1	-1							2	1	F	F	T	4	1	F	F	F	T	F	32	7	25			13			5			9	20			9			5			3	11		16	8		4	10	3		2	7		2	10			8	2		3	40	53	303	T	F	44	44
296	FB3	interview	-1	2	1				5	5		1	1	-1	6		5				1	-1	2	8					6	1	1	-1	7		7				2	1	F	F	T	4	4	T	T	T	T	F	7	2	18	6		5	3		13			4	19			10		2	7	2		2	13	2		11	4		9			1	9	2		9			9		2	3	46	29	237	T	F	44	44
305	FB3	interview	2	2	1		5		4	6		1	2	2	2			2		3	-1	1	1			5		3		-1	1	2			6			6	1	2	T	F	T	2	1	F	F	F	T	F	6	9	16			25	24		13		4	6	10		11	8		4	8	6		2	8	9		9		5	8		8	7	18			11	4		5	5		2	243	67	357	T	F	44	44
306	FB3	interview	-1	-1	-1							-1	1	-1			4				1	2	-1	4			5			1	-1	2	3					1	1	1	T	F	F	-1	1	F	T	F	F	F	8	10	18	26		26			37		6	6	69			34			29			5	20			29	5		30			16	16	3		29		11	42			3	40	82	537	T	F	44	44
311	FB3	interview	-1	1	1			3		3		2	1	1		5	5		6		2	2	2		5		7		6	1	1	2	5		7			4	1	1	F	T	F	1	1	F	T	F	F	F	3391	31	41	22		21	10		23		9	27	29			27	4		7	5		8	21		6	11	3		6	3		7	11		3	4		3	6		4	2	36	29	381	T	F	44	44
312	FB3	interview	2	2	2		1		3		3	-1	-1	1					6		1	2	2	6			6		3	-1	-1	1					3		1	1	T	F	F	2	1	F	F	F	F	T	63	4	27			10			50	36		18	68		60	60		43	42		26	16	77			57			39	19		16	56	34		45		34	65		35	6	177	61	536	T	F	44	44
313	FB3	interview	2	2	2		3		8		8	1	1	1	3		3		3		2	1	1		5	5		6		2	1	1		6	6		6		1	1	F	F	T	4	1	F	F	F	T	F	20	12	13		16	9	8		8	6		16	21		11	10		6	5		3	5	5	13		4	5		6	4		16	116		13	20	200		8	24		10	78	806	381	T	F	44	44
319	FB3	interview	2	-1	1		3			3		1	-1	2	3					3	-1	-1	-1							-1	-1	-1							2	1	T	F	F	4	1	T	F	F	F	F	7	4	35			21			4			3	34		9	13			6	2		3	8	5		7			7		3	2	10			8			3			2	26	28	242	T	F	44	44
322	FB3	interview	2	2	2		4		7		6	1	1	1	3		3		3		2	1	1		7	3		5		1	1	2	3		8			4	1	1	F	F	T	4	2	F	F	F	T	T	780	20	23	7		8	2		17		8	2	687		8	10		7	8		5	10	13	5		12	4		32	3		7	4		3	12	6		4	3		3	80	52	395	T	F	44	44
329	FB3	interview	-1	-1	-1							-1	1	1			4		4		-1	-1	-1							-1	1	1			5		3		1	1	F	T	F	1	1	F	F	F	T	F	35	24	52			13	36		40	5		15	53			53			13			13	58			27	4		67	5		8	27			14			7			3	61	26	569	T	F	44	44
334	FB3	interview	-1	2	-1				3			2	2	1		1		6	3		2	1	1		6	3		3		2	1	1		3	3		6		2	1	T	F	F	1	1	F	F	F	F	T	36	22	60		25	36	10		18	3		20	49			30		5	29			3	50		5	16		5	22	6		14	10		6	30	5		10	7		5	87	34	628	T	F	44	44
337	FB3	interview	-1	-1	1					5		-1	-1	-1							-1	1	-1			5				2	1	1		6	7		8		1	1	F	F	T	4	1	F	F	F	T	F	6	12	20		1587	10	6		7	3		8	10			14			9	7		2	6			16			10			2	15			9	5		6			3	40	26	252	T	F	44	44
339	FB3	interview	-1	-1	-1							2	-1	-1		2					-1	-1	-1							-1	-1	-1							1	1	F	F	T	1	1	F	F	F	F	T	6	7	12			11			3			3	17			13			9			2	27		16	8			6			1	41			6			3			2	70	15	278	T	F	44	44
342	FB3	interview	2	2	-1		5		4			-1	1	1			6		6		-1	-1	-1							-1	-1	-1							1	1	T	F	F	3	1	T	F	F	F	F	38	8	44			48			11			5	46		26	23		16	8			9	32			16	15		17	6		6	33			50			10			2	47	81	518	T	F	44	44
346	FB3	interview	-1	-1	-1							-1	-1	-1							-1	-1	-1							-1	-1	-1							2	1	T	F	F	4	1	F	F	F	F	T	20	7	23			16			17			9	24			12			16			11	24			11			15			9	10			5			7			5	105	84	430	T	F	44	44
351	FB3	interview	-1	-1	-1							-1	-1	-1							-1	-1	-1							-1	1	1			3		3		1	1	T	F	F	3	1	F	F	F	F	T	74	17	64			40	37		23	3		11	37			57			16			6	37			13			30			10	25			21			40			6	165	741	594	T	F	44	44
364	FB3	interview	-1	2	2				2		2	-1	1	1			6		6		2	2	-1		2		6			-1	-1	-1							2	-1	F	F	F	4	1	F	F	F	F	T	3	6	14			13			3			3	239			15		12	16		7	8	6			4	10		6	4		3	8		2	6		4	7			2	106	24	302	T	F	44	44
367	FB3	interview	-1	-1	-1							-1	-1	-1							-1	1	1			6		6		-1	-1	-1							1	1	T	F	F	4	1	F	T	F	F	F	34	28	40			40			10			10	13			25			14			5	58			10			11			2	7			26	32		15	15		2	58	291	461	T	F	44	44
368	FB3	interview	-1	2	-1				5			2	2	-1		6		5			-1	1	1			6		6		1	-1	2	6					5	2	1	F	T	F	-1	1	F	F	F	T	F	8	10	20	31		25			29		3	7	51			45		13	15			3	16		4	10		1	19			2	13			8	2		19	4		2	73	27	428	T	F	44	44
385	FB3	interview	2	2	1		6		4	5		-1	-1	-1							2	2	1		5		6	6		-1	1	-1			5				1	1	F	F	T	1	1	F	F	F	T	F	5	5	33			6	20		8			4	18		4	14		3	9	4		2	29			6			6			1	22		2	6		6	7	3		2	42	17	284	T	F	44	44
390	FB3	interview	-1	2	1				3	3		2	2	-1		6		6			1	2	2	3			5		5	-1	-1	-1							1	1	T	F	F	1	1	F	F	F	F	T	6	13	19			35			10			4	36			15		18	20	3		3	11		3	8		3	11			1	40	4		6		3	8		4	2	83	27	385	T	F	44	44
398	FB3	interview	2	2	-1		8		8			2	1	1		2	5		3		2	2	2		3		6		5	2	2	1		6		3	6		2	1	F	T	F	4	1	F	F	F	T	F	16	14	12		25	28		7	9	8		12	21		16	24		5	16			10	27		6	23	5		13	4		12	22		3	11		6	7		4	3	37	63	433	T	F	44	44
403	FB3	interview	-1	1	1			2		4		2	2	1		5		4	4		2	2	1		6		3	6		1	1	1	4		6		6		1	1	T	F	F	1	-1	F	F	F	F	F	278	20	39	22148		17	7		8	4		5	14			13	10		8	3		2	12		3	21		2	7	2		3	4		3	6		3	4	2		2	52	21	296	T	F	44	44
